"","Longitude","Latitude"
"1",-75.187103,39.881171
"2",-75.189323,39.880713
"3",-75.195103,39.877149
"4",-75.195324,39.877013
"5",-75.210425,39.865913
"6",-75.210876,39.865709
"7",-75.211463,39.867004
"8",-75.216039,39.871115
"9",-75.215787,39.875052
"10",-75.215722,39.876087
"11",-75.219703,39.875476
"12",-75.223763,39.875858
"13",-75.229985,39.876847
"14",-75.235024,39.876964
"15",-75.24047,39.872381
"16",-75.246824,39.875142
"17",-75.248431,39.876485
"18",-75.253515,39.876015
"19",-75.261245,39.876484
"20",-75.262528,39.876561
"21",-75.262539,39.876578
"22",-75.262655,39.876786
"23",-75.264433,39.882167
"24",-75.262302,39.882333
"25",-75.264602,39.884737
"26",-75.262844,39.885682
"27",-75.264878,39.887927
"28",-75.262306,39.888537
"29",-75.261743,39.891774
"30",-75.259112,39.892436
"31",-75.256662,39.894848
"32",-75.257389,39.895704
"33",-75.255093,39.898756
"34",-75.25561,39.899576
"35",-75.251288,39.904403
"36",-75.253492,39.905585
"37",-75.2525,39.906614
"38",-75.250196,39.908323
"39",-75.251498,39.910051
"40",-75.247068,39.913778
"41",-75.24694,39.916871
"42",-75.247187,39.917094
"43",-75.247347,39.917785
"44",-75.247341,39.918541
"45",-75.247423,39.918825
"46",-75.247601,39.919076
"47",-75.247456,39.919079
"48",-75.247484,39.919242
"49",-75.247759,39.921708
"50",-75.247321,39.922178
"51",-75.247356,39.922437
"52",-75.245928,39.924474
"53",-75.243464,39.927396
"54",-75.243427,39.929212
"55",-75.243404,39.929498
"56",-75.244355,39.930041
"57",-75.243643,39.930897
"58",-75.241909,39.933544
"59",-75.237407,39.932648
"60",-75.236833,39.933768
"61",-75.236822,39.934103
"62",-75.236713,39.934417
"63",-75.234868,39.937456
"64",-75.236878,39.938432
"65",-75.23957,39.938039
"66",-75.239903,39.940035
"67",-75.240149,39.942086
"68",-75.243026,39.942211
"69",-75.243341,39.942326
"70",-75.243542,39.942306
"71",-75.247028,39.943414
"72",-75.247051,39.943558
"73",-75.247208,39.943904
"74",-75.249921,39.946626
"75",-75.250658,39.948445
"76",-75.251609,39.951466
"77",-75.251643,39.951954
"78",-75.251186,39.952664
"79",-75.251206,39.953031
"80",-75.250816,39.953475
"81",-75.249234,39.955429
"82",-75.249006,39.956907
"83",-75.249499,39.957189
"84",-75.25085,39.959099
"85",-75.248546,39.960269
"86",-75.247922,39.961085
"87",-75.247688,39.962817
"88",-75.248056,39.964074
"89",-75.251353,39.965219
"90",-75.25414,39.965404
"91",-75.25711,39.963719
"92",-75.260491,39.966313
"93",-75.265448,39.965257
"94",-75.267386,39.966215
"95",-75.270422,39.968479
"96",-75.275322,39.969416
"97",-75.275606,39.970211
"98",-75.276411,39.970416
"99",-75.276611,39.970776
"100",-75.278703,39.972442
"101",-75.280266,39.974964
"102",-75.276482,39.976959
"103",-75.275871,39.977245
"104",-75.273552,39.978279
"105",-75.271309,39.979275
"106",-75.269257,39.980186
"107",-75.267973,39.980757
"108",-75.26725,39.981079
"109",-75.265511,39.981857
"110",-75.264351,39.982372
"111",-75.262946,39.983045
"112",-75.258545,39.985527
"113",-75.256287,39.98719
"114",-75.255676,39.987499
"115",-75.253999,39.988304
"116",-75.251438,39.989504
"117",-75.25,39.99018
"118",-75.249214,39.990547
"119",-75.247948,39.991138
"120",-75.245689,39.992191
"121",-75.237331,39.996128
"122",-75.235298,39.99707
"123",-75.230896,39.99913
"124",-75.227462,40.000746
"125",-75.226402,40.001255
"126",-75.223618,40.002583
"127",-75.220665,40.003944
"128",-75.213745,40.00716
"129",-75.210365,40.008789
"130",-75.207993,40.009842
"131",-75.207275,40.010189
"132",-75.207237,40.01022
"133",-75.207292,40.011105
"134",-75.206968,40.011372
"135",-75.206286,40.011923
"136",-75.206405,40.012002
"137",-75.207599,40.012719
"138",-75.208008,40.012997
"139",-75.212219,40.015461
"140",-75.213637,40.016718
"141",-75.214272,40.017273
"142",-75.214752,40.017784
"143",-75.216347,40.019478
"144",-75.218056,40.020943
"145",-75.218969,40.021405
"146",-75.219583,40.021713
"147",-75.219917,40.021881
"148",-75.222153,40.022614
"149",-75.223694,40.023712
"150",-75.225191,40.024459
"151",-75.226652,40.025267
"152",-75.228149,40.026031
"153",-75.232323,40.028107
"154",-75.232628,40.028355
"155",-75.23418,40.029589
"156",-75.23484,40.030075
"157",-75.237762,40.031934
"158",-75.238068,40.032127
"159",-75.238494,40.032392
"160",-75.241493,40.035141
"161",-75.24617,40.03829
"162",-75.249181,40.041951
"163",-75.251222,40.043447
"164",-75.251298,40.043505
"165",-75.252882,40.044733
"166",-75.254226,40.045689
"167",-75.254318,40.045755
"168",-75.254678,40.045924
"169",-75.255098,40.046122
"170",-75.259621,40.049238
"171",-75.264431,40.054094
"172",-75.263596,40.05481
"173",-75.255006,40.062704
"174",-75.243288,40.073494
"175",-75.232952,40.083618
"176",-75.2305,40.086022
"177",-75.22361,40.092907
"178",-75.214348,40.087605
"179",-75.21273,40.086388
"180",-75.212378,40.08609
"181",-75.211868,40.086086
"182",-75.204147,40.081741
"183",-75.200378,40.07959
"184",-75.198334,40.078415
"185",-75.197601,40.077991
"186",-75.194992,40.076496
"187",-75.190831,40.074114
"188",-75.189117,40.073124
"189",-75.188866,40.072971
"190",-75.188461,40.07275
"191",-75.186096,40.075123
"192",-75.182053,40.079102
"193",-75.180901,40.080219
"194",-75.179756,40.081333
"195",-75.179214,40.081867
"196",-75.177696,40.083378
"197",-75.176438,40.084649
"198",-75.172951,40.082581
"199",-75.171661,40.081848
"200",-75.169914,40.080818
"201",-75.168243,40.079834
"202",-75.163399,40.07695
"203",-75.161285,40.075764
